graphics card,name
2500.0,Apple MacBook Air 13-inch M1 256GB - Oliz Store
1500.0,Lenovo Ideapad 1 Intel Celeron N4020 – 4GB DDR4 RAM – 128GB eMMC Storage – Intel UHD Graphics – 14″ Display – Windows 11 – Cloud Grey
,"Dell Vostro 3520 i5 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black"
1650.0,Acer Nitro 5 Ryzen 7 5800H 16GB Ram 512GB SSD GTX 1650 144hz RGB
3050.0,"HP Victus 15 i5 13th Gen 13420H / 16GB DDR4 RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 3050 6GB GPU / 15.6"" FHD 144Hz Display / Windows 11 Home / Backlit Keyboard"
,"Apple MacBook Air (15-inch, M3 Chip) 8C-CPU, 10C-GPU, 8GB RAM, 512GB SSD - EvoStore"
,"Lenovo V15 celeron 4GB RAM 256GB SSD,15.6 inch HD Display"
3050.0,"HP Victus 15 i5 13th Gen 13420H / 8GB RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 3050 6GB GPU / 15.6"" FHD 144Hz Display / Windows 11 Home / Backlit Keyboard"
3050.0,"HP Victus 15 Core i5 13th Gen Intel 13420H /NVidia RTX 3050 6GB Graphics /16GB RAM/512GB SSD/15.6"" 144Hrz/Backlit Keyboard/Win 11"
,"Acer Aspire 5 Core i5 13th Gen/8GB RAM/512GB SSD/15.6"" FHD/Win 11"
,Dell Vostro 3520 I3-12th gen 8GB RAM/512GB SSD/15.6 Display
4050.0,"Acer Nitro 5 i5 12th Gen | 16GB DDR5 RAM | 512GB SSD | RTX 4050 6GB Graphics | 15.6"" FHD 144Hz"
4050.0,"Acer Nitro V 15 2023 | 13th Gen Intel Core i5-13420H Processor | 8GB DDR5 RAM 4800MHz | 512GB PCIe NVMe SSD | NVIDIA RTX 4050 6GB Graphics | 15.6"" FHD 144Hz Display | Gaming Laptop | Acer Nitro | Laptop | Black | 1 Year Warranty"
4050.0,"Acer Nitro V i7 13th Gen 13620H | 16GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD 144Hz"
2050.0,HP Victus 15-FB1013DX (AMD Ryzen 5-7535HS Processor| 8GB RAM | 512GB Storage | NVIDIA RTX 2050 Graphics | 15.6-inch FHD 144Hz Display
2050.0,HP Victus 15 Gaming Laptop AMD Ryzen 5 7535HS / 8GB DDR5 RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 2050 4GB Graphics / 15.6″ FHD 144Hz Display / Windows 11 Home
,"Dell Vostro 3520 i3 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD Display Laptop"
4050.0,"Acer Nitro V i5 13th Gen 13420H | 16GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD 144Hz | Win 11"
3050.0,HP Victus 15 i5 13th Gen 16GB 512GB RTX 3050 15.6 144Hz Win 11
3050.0,"Acer Nitro V 15 Intel Core i5 13th Gen 13420H - 8GB DDR5 RAM - 512GB NVMe SSD - NVIDIA RTX 3050 6GB Graphics - 15.6"" FHD 144Hz Display - Backlit Keyboard"
4050.0,"Acer Nitro V 15 2023 i5 13420H | RTX 4050 6GB | 16GB RAM | 512GB SSD | 15.6"" FHD 144Hz display | 1 Year Warranty"
,Lenovo ideapad Slim 3 i5 13th Gen 8GB RAM 512ssd 15.6 Screen Laptop
,"Dell Latitude E5470 I5-6th Gen | 8 GB RAM | 256 GB SSD | 14"" Screen"
,"Lenovo Ideapad Slim 3 i3 13th Gen 8GB RAM 256GB ssd 15.6"" FHD Laptop"
,Mi Notebook Pro Intel Core i5 11th Gen16GB/512GB SSD/Iris Xe Graphics 14 Inch Laptop
,"Acer Aspire 5 / Core i3 11th Gen / 8GB RAM / 128GB SSD / 1TB HDD / 15.6"" FHD / WIN10 Genuine Laptop"
1500.0,Dell Celeron 5470 Intel UHD 8/256GB SSD
,"Acer Aspire 5 i3 11Th Gen 8GB Ram 256gb Ssd 15.6"" Fhd Display"
,"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 256GB SSD | 15.6"" 120Hz FHD | Black"
2800.0,"Apple MacBook Air 13.6"" M2/8C CPU/8C GPU/8GB/256GB - EvoStore"
3050.0,"ASUS Zephyrus G15 GA503QE / Ryzen 9 5900HS / RTX 3050ti 4GB / 16GB RAM / 1TB SSD / 15.6"" FHD 144hz"
,"Asus VivoBook I512th Gen 16GB/512GB/14""inch display/Numpad/Windows 11"
2800.0,Dell Latitude E7390 Laptop I5-8th Gen 256 GB SSD 8 GB RAM Ultrabook
,AVITA Magus Cosmos 2in1 NS12T5IN025P/ N4000
2800.0,"Asus Vivobook Go E1504 Intel Core i3 N305 Thin and Light Laptop - 8GB DDR4 RAM - 256GB NVMe SSD - 15.6"" FHD Display - Silver"
,Dell Latitude E5300 i5-8th Gen 8GB 256 SSD 13.3″ Ultrabook
,"Dell 5470 Intel Celeron, 8GB RAM 256GB SSD, 14"" FHD DISPLAY, BACKLIT KEYBOARD, BLACK"
2800.0,ASUS ZENBOOK 14X OLED Q410VA Core i5 -13500H / 8 GB DDR5 RAM/ 512GB SSD/ 14.5″ OLED Touch Screen / Backlit Keyboard/ Win 11
2050.0,"HP Victus 15 Ryzen 5 7535HS /16 GB DDR5 RAM/ 512 GB NVME SSD/15.6"" 144Hrz Display / 4GB RTX 2050 DDR6 Graphics/Backlit Keyboard/ Win 11"
1050.0,"Asus ZenBook 14 Q407IQ Laptop / Ryzen 5 4500U / MX350 / 8GB RAM / 256GB SSD / 14"" FHD display"
,"Lenovo IP Slim 3 Core i5 13th Gen 13420H/ 8GB DDR 5 RAM/512 GB SSD/15.6"" FHD/Win 11"
,"Lenovo V14 Celeron | 4GB RAM | 256GB SSD | 14"" HD Display Laptop"
