display size,name,url
13.3,Apple MacBook Air 13-inch M1 256GB - Oliz Store,https://www.daraz.com.np/products/apple-macbook-air-13-inch-m1-256gb-oliz-store-i106600811-s1028165605.html?search=1
14,Lenovo Ideapad 1 Intel Celeron N4020 – 4GB DDR4 RAM – 128GB eMMC Storage – Intel UHD Graphics – 14″ Display – Windows 11 – Cloud Grey,https://www.daraz.com.np/products/lenovo-ideapad-1-intel-celeron-n4020-4gb-ddr4-ram-128gb-emmc-storage-intel-uhd-graphics-14-display-windows-11-cloud-grey-i129798536-s1037645226.html?search=1
15.6,"Dell Vostro 3520 i5 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black",https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-black-i129411877-s1037407894.html?search=1
15.6,Acer Nitro 5 Ryzen 7 5800H 16GB Ram 512GB SSD GTX 1650 144hz RGB,https://www.daraz.com.np/products/acer-nitro-5-ryzen-7-5800h-16gb-ram-512gb-ssd-gtx-1650-144hz-rgb-i128490145-s1035974947.html?search=1
15.6,"HP Victus 15 i5 13th Gen 13420H / 16GB DDR4 RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 3050 6GB GPU / 15.6"" FHD 144Hz Display / Windows 11 Home / Backlit Keyboard",https://www.daraz.com.np/products/hp-victus-15-i5-13th-gen-13420h-16gb-ddr4-ram-512gb-nvme-ssd-nvidia-geforce-rtx-3050-6gb-gpu-156-fhd-144hz-display-windows-11-home-backlit-keyboard-i128473367-s1035957702.html?search=1
15.6,"Apple MacBook Air (15-inch, M3 Chip) 8C-CPU, 10C-GPU, 8GB RAM, 512GB SSD - EvoStore",https://www.daraz.com.np/products/apple-macbook-air-15-inch-m3-chip-8c-cpu-10c-gpu-8gb-ram-512gb-ssd-evostore-i131511581-s1038461553.html?search=1
15.6,"Lenovo V15 celeron 4GB RAM 256GB SSD,15.6 inch HD Display",https://www.daraz.com.np/products/lenovo-v15-celeron-4gb-ram-256gb-ssd156-inch-hd-display-i117911554-s1032329631.html?search=1
15.6,"HP Victus 15 i5 13th Gen 13420H / 8GB RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 3050 6GB GPU / 15.6"" FHD 144Hz Display / Windows 11 Home / Backlit Keyboard",https://www.daraz.com.np/products/hp-victus-15-i5-13th-gen-13420h-8gb-ram-512gb-nvme-ssd-nvidia-geforce-rtx-3050-6gb-gpu-156-fhd-144hz-display-windows-11-home-backlit-keyboard-i128017013-s1035959655.html?search=1
15.6,"HP Victus 15 Core i5 13th Gen Intel 13420H /NVidia RTX 3050 6GB Graphics /16GB RAM/512GB SSD/15.6"" 144Hrz/Backlit Keyboard/Win 11",https://www.daraz.com.np/products/hp-victus-15-core-i5-13th-gen-intel-13420h-nvidia-rtx-3050-6gb-graphics-16gb-ram512gb-ssd156-144hrzbacklit-keyboardwin-11-i128174010-s1035273454.html?search=1
15.6,"Acer Aspire 5 Core i5 13th Gen/8GB RAM/512GB SSD/15.6"" FHD/Win 11",https://www.daraz.com.np/products/acer-aspire-5-core-i5-13th-gen8gb-ram512gb-ssd156-fhdwin-11-i128494367-s1036005360.html?search=1
15.6,Dell Vostro 3520 I3-12th gen 8GB RAM/512GB SSD/15.6 Display,https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-8gb-ram512gb-ssd156-display-i118372728-s1032434216.html?search=1
15.6,"Acer Nitro 5 i5 12th Gen | 16GB DDR5 RAM | 512GB SSD | RTX 4050 6GB Graphics | 15.6"" FHD 144Hz",https://www.daraz.com.np/products/acer-nitro-5-i5-12th-gen-16gb-ddr5-ram-512gb-ssd-rtx-4050-6gb-graphics-156-fhd-144hz-i128490198-s1035977920.html?search=1
15.6,"Acer Nitro V 15 2023 | 13th Gen Intel Core i5-13420H Processor | 8GB DDR5 RAM 4800MHz | 512GB PCIe NVMe SSD | NVIDIA RTX 4050 6GB Graphics | 15.6"" FHD 144Hz Display | Gaming Laptop | Acer Nitro | Laptop | Black | 1 Year Warranty",https://www.daraz.com.np/products/acer-nitro-v-15-2023-13th-gen-intel-core-i5-13420h-processor-8gb-ddr5-ram-4800mhz-512gb-pcie-nvme-ssd-nvidia-rtx-4050-6gb-graphics-156-fhd-144hz-display-gaming-laptop-acer-nitro-laptop-black-1-year-warranty-i130030136-s1037906231.html?search=1
15.6,"Acer Nitro V i7 13th Gen 13620H | 16GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD 144Hz",https://www.daraz.com.np/products/acer-nitro-v-i7-13th-gen-13620h-16gb-ddr5-512gb-ssd-rtx-4050-6gb-156-fhd-144hz-i131403009-s1038235947.html?search=1
15.6,HP Victus 15-FB1013DX (AMD Ryzen 5-7535HS Processor| 8GB RAM | 512GB Storage | NVIDIA RTX 2050 Graphics | 15.6-inch FHD 144Hz Display,https://www.daraz.com.np/products/hp-victus-15-fb1013dx-amd-ryzen-5-7535hs-processor-8gb-ram-512gb-storage-nvidia-rtx-2050-graphics-156-inch-fhd-144hz-display-i129862643-s1037713180.html?search=1
