graphics card,name,url,details
nan,Apple MacBook Air 13-inch M1 256GB - Oliz Store,https://www.daraz.com.np/products/apple-macbook-air-13-inch-m1-256gb-oliz-store-i106600811-s1028165605.html?search=1,Apple M1 chip with 8core CPU 7core GPU and 16core NeuralEngine 8GB unified memory 256GB SSD storage Retina display with True Tone Magic Keyboard Touch ID Force Touch trackpad Two Thunderbolt  USB 4 ports Apple M1 chip with 8‑core CPU 7‑core GPU and 16‑core Neural Engine 8GB unified memory 256GB SSD storage¹ Retina display with True Tone Magic Keyboard Touch ID Force Touch trackpad Two Thunderbolt  USB 4 ports
nan,Lenovo Ideapad 1 Intel Celeron N4020 – 4GB DDR4 RAM – 128GB eMMC Storage – Intel UHD Graphics – 14″ Display – Windows 11 – Cloud Grey,https://www.daraz.com.np/products/lenovo-ideapad-1-intel-celeron-n4020-4gb-ddr4-ram-128gb-emmc-storage-intel-uhd-graphics-14-display-windows-11-cloud-grey-i129798536-s1037645226.html?search=1,
nan,"Dell Vostro 3520 i5 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black",https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-black-i129411877-s1037407894.html?search=1,"Brand Dell Model Vostro 3520 Processor Intel Core i5 12th Generation 1235U 12 MB cache 10cores 12 threads up to 440 GHz Turbo Memory 16GB DDR4 RAM Storage 512GB NVMe SSD Display 156"" 120Hz FHD Display Battery 3Cell Battery Color Carbon Black Warranty 1Year Warranty"
1650,Acer Nitro 5 Ryzen 7 5800H 16GB Ram 512GB SSD GTX 1650 144hz RGB,https://www.daraz.com.np/products/acer-nitro-5-ryzen-7-5800h-16gb-ram-512gb-ssd-gtx-1650-144hz-rgb-i128490145-s1035974947.html?search=1,• Acer Nitro 5 Ryzen 7 5800H Gaming Laptop• 156 Inch FullHD IPS Display 144Hz Refresh Rate• NVIDIA GeForce GTX 1650 with 4GB GDDR6 Graphics• AMD Ryzen 7 5800H Mobile Processor 8Core• 16GB DDR43200MHz RAM 512GB SSD Storage• LAN USBC 32 Gen 2 HDMI USB 30 Headphone Jack• IEEE 80211ax Networking 720p Webcam• 4cell LithiumIon Battery 529Lbs Weight• Windows 10 Operating System RGB Keyboard
3050,"HP Victus 15 i5 13th Gen 13420H / 16GB DDR4 RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 3050 6GB GPU / 15.6"" FHD 144Hz Display / Windows 11 Home / Backlit Keyboard",https://www.daraz.com.np/products/hp-victus-15-i5-13th-gen-13420h-16gb-ddr4-ram-512gb-nvme-ssd-nvidia-geforce-rtx-3050-6gb-gpu-156-fhd-144hz-display-windows-11-home-backlit-keyboard-i128473367-s1035957702.html?search=1,PRESS START  Keep up with the biggest games and the best players with the 13th Generation Intel Core i513420H processor and discrete graphics in a sleekly designed mighty little package YOU'LL NEED THIS MUCH POWER  Power up for peak gaming season and feel your game elevate to where you want to be with an updated thermal design that keeps your machine cool INTRODUCING THE MOST REFINED DESIGN IN THE GAME  Make a statement from the iconic silver color to the spritely designed 15inch package this is the picture of sophistication SMOOTH CRISP GAMEPLAY  Reduce frustrating lag and image ghosting with a display that combines 144Hz refresh rate and 1080p Full High Definition resolution and 9 ms response time PLAY ON  16GB RAM helps for multitasking livestreaming and playing for hours UP YOUR STORAGE  512 GB PCIe Gen4 NVMe M2 solidstate drive gets up to 128x faster performance than a SATA SSD BEYOND FAST GRAPHICS  6GB GDDR6 dedicated NVIDIA GeForce RTX 3050 Graphics renders lifelike virtual worlds ultrahigh FPS gaming and unprecedented acceleration for you WARRANTY  One year against manufacturing defects
nan,"Apple MacBook Air (15-inch, M3 Chip) 8C-CPU, 10C-GPU, 8GB RAM, 512GB SSD - EvoStore",https://www.daraz.com.np/products/apple-macbook-air-15-inch-m3-chip-8c-cpu-10c-gpu-8gb-ram-512gb-ssd-evostore-i131511581-s1038461553.html?search=1,LEAN MEAN M3 MACHINE — The blazingfast MacBook Air with the M3 chip is a superportable laptop that sails through work and play PORTABLE DESIGN — Lightweight and under half an inch thin so you can take MacBook Air anywhere you go GET MORE DONE FASTER — The powerful 8core CPU and 10core GPU of the Apple M3 chip keep things running smoothly UP TO 18 HOURS OF BATTERY LIFE — Amazing allday battery life so you can leave the power adapter at home MORE ROOM FOR WHAT YOU LOVE — The 153inch Liquid Retina display supports 1 billion colors LOOK SHARP SOUND GREAT — Everything looks and sounds amazing with a 1080p FaceTime HD camera three mics and six speakers with Spatial Audio APPS FLY WITH APPLE SILICON — All your favorites from Microsoft 365 to Adobe Creative Cloud run lightning fast in macOS
nan,"Lenovo V15 celeron 4GB RAM 256GB SSD,15.6 inch HD Display",https://www.daraz.com.np/products/lenovo-v15-celeron-4gb-ram-256gb-ssd156-inch-hd-display-i117911554-s1032329631.html?search=1,Lenovo v15intel celeron 4gb ddr4 ram256gb ssd156 HD Displayintel Integrated Intel HD
3050,"HP Victus 15 i5 13th Gen 13420H / 8GB RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 3050 6GB GPU / 15.6"" FHD 144Hz Display / Windows 11 Home / Backlit Keyboard",https://www.daraz.com.np/products/hp-victus-15-i5-13th-gen-13420h-8gb-ram-512gb-nvme-ssd-nvidia-geforce-rtx-3050-6gb-gpu-156-fhd-144hz-display-windows-11-home-backlit-keyboard-i128017013-s1035959655.html?search=1,PRESS START  Keep up with the biggest games and the best players with the 13th Generation Intel Core i513420H processor and discrete graphics in a sleekly designed mighty little package YOU'LL NEED THIS MUCH POWER  Power up for peak gaming season and feel your game elevate to where you want to be with an updated thermal design that keeps your machine cool INTRODUCING THE MOST REFINED DESIGN IN THE GAME  Make a statement from the iconic silver color to the spritely designed 15inch package this is the picture of sophistication SMOOTH CRISP GAMEPLAY  Reduce frustrating lag and image ghosting with a display that combines 144Hz refresh rate and 1080p Full High Definition resolution and 9 ms response time PLAY ON  8GB RAM with 2 accessible slots is ready for upgrades multitasking livestreaming and playing for hours UP YOUR STORAGE  512 GB PCIe Gen4 NVMe M2 solidstate drive gets up to 128x faster performance than a SATA SSD BEYOND FAST GRAPHICS  6GB GDDR6 dedicated NVIDIA GeForce RTX 3050 Graphics renders lifelike virtual worlds ultrahigh FPS gaming and unprecedented acceleration for you WARRANTY  One year against manufacturing defects
3050,"HP Victus 15 Core i5 13th Gen Intel 13420H /NVidia RTX 3050 6GB Graphics /16GB RAM/512GB SSD/15.6"" 144Hrz/Backlit Keyboard/Win 11",https://www.daraz.com.np/products/hp-victus-15-core-i5-13th-gen-intel-13420h-nvidia-rtx-3050-6gb-graphics-16gb-ram512gb-ssd156-144hrzbacklit-keyboardwin-11-i128174010-s1035273454.html?search=1,Brand HP Model Victus 15FA1093DX Processor Intel Core i513420H up to 460 GHz 12 MB Cache & 8Cores RAM 16 GB DDR43200 MHz RAM Storage 512 GB PCIe NVMe M2 SSD Display 156inch diagonal IPS microedge 250 nits antiglare Ultra slim 144 Hz Narrow Border Graphics NVIDIA GeForce RTX 3050 6 GB  Camera HP True Vision 720p HD camera Network and Communication Intel® WiFi 6E AX211 2×2 and Bluetooth 53 Battery 4cell 70 Wh Liion polymer Operating System Microsoft Windows 11 Warranty 1 Year International Warranty Color Blue
nan,"Acer Aspire 5 Core i5 13th Gen/8GB RAM/512GB SSD/15.6"" FHD/Win 11",https://www.daraz.com.np/products/acer-aspire-5-core-i5-13th-gen8gb-ram512gb-ssd156-fhdwin-11-i128494367-s1036005360.html?search=1,"Model Name A51558P574P CPU Intel® Core i51335U Processor 12 MB Smart Cache 13 GHz with Turbo Boost up to 47 GHz  Intel® Iris® Xe Graphics Operating System Windows 11 Home Memory 8 GB DDR5 Memory Storage 512 GB PCIe NVMe SSD Screen 156"" Full HD 1920 x 1080 highbrightness Acer ComfyView LEDbacklit TFT LCD Graphics Onboard Graphics Intel Iris Xe Wireless Connectivity ""80211abgn+ax Bluetooth 52"" Camera HD TNR Camera Warranty 1 Year Mail in Warranty Battery Information 50Wh 3cell Liion battery Weight 17 KG Product Dimensions 361 W x 237 D x 179 H mm Power Supply 3pin 65W AC adapter Ports 2x TypeA USB 32 Gen1 HDMI 21 35mm headphonespeaker Audio Acer True Harmony technology"
