Date,Actual Price,Discount Price
2024-04-29,38900,34500
2024-05-01,38900,34500
2024-05-04,38900,34500
2024-05-05,38900,34500
2024-05-07,38900,34500
2024-05-09,38900,34500
2024-05-11,38900,34500
2024-05-13,38900,34500
2024-05-14,38900,34500
2024-05-15,38900,34500
2024-05-16,38900,34500
2024-05-17,38900,34500
2024-05-18,38900,34500
2024-05-29,38900,34500
2024-05-30,38900,34500
2024-05-31,38900,34500
2024-06-01,38900,34500
2024-06-03,38900,34500
2024-06-04,38900,34500
2024-06-15,38900,34500
2024-06-19,38900,34500
