Date,Actual Price,Discount Price
2024-04-29,178888,178888
2024-05-01,178888,178888
2024-05-04,178888,178888
2024-05-05,178888,178888
2024-05-07,178888,178888
2024-05-09,178888,178888
2024-05-11,178888,178888
2024-05-13,178888,178888
2024-05-14,178888,178888
2024-05-16,178888,178888
2024-05-17,178888,178888
2024-05-18,178888,178888
2024-05-29,178888,178888
2024-05-30,178888,178888
2024-05-31,178888,178888
2024-06-01,178888,178888
2024-06-03,178888,178888
2024-06-04,178888,178888
2024-06-15,178888,178888
2024-06-19,178888,178888
