Date,Actual Price,Discount Price
2024-04-29,159990,129990
2024-05-01,159990,129990
2024-05-04,159990,129990
2024-05-05,159990,129990
2024-05-07,159990,129990
2024-05-09,159990,129990
2024-05-11,159990,129990
2024-05-13,159990,129990
2024-05-14,159990,129990
2024-05-16,159990,129990
2024-05-17,159990,129990
2024-05-18,159990,129990
2024-05-29,159990,129990
2024-05-30,159990,129990
2024-05-31,159990,129990
2024-06-01,159990,129990
2024-06-03,159990,129990
2024-06-04,159990,129990
2024-06-15,159990,129990
2024-06-19,159990,129990
