Date,Actual Price,Discount Price
2024-04-29,109990,109990
2024-05-01,109990,109990
2024-05-04,109990,109990
2024-05-05,109990,105990
2024-05-07,109990,105990
2024-05-09,109990,105990
2024-05-11,109990,105990
2024-05-13,109990,109990
2024-05-14,109990,109990
2024-05-16,109990,109990
2024-05-17,109990,109990
2024-05-18,109990,109990
2024-05-29,109990,109990
2024-05-30,109990,109990
2024-05-31,109990,109990
2024-06-01,109990,109990
2024-06-03,109990,109990
2024-06-04,109990,109990
2024-06-15,109990,109990
