Date,Actual Price,Discount Price
2024-04-29,325000,299990
2024-05-01,325000,299990
2024-05-04,325000,299990
2024-05-05,325000,299990
2024-05-07,325000,299990
2024-05-09,325000,299990
2024-05-11,325000,299990
2024-05-13,325000,299990
2024-05-14,325000,299990
2024-05-16,325000,299990
2024-05-17,325000,299990
2024-05-18,325000,299990
2024-05-29,325000,299990
2024-05-30,325000,299990
2024-05-31,325000,299990
2024-06-01,325000,299990
2024-06-03,325000,299990
2024-06-04,325000,299990
2024-06-15,325000,299990
2024-06-19,325000,299990
