Date,Actual Price,Discount Price
2024-04-29,109099,109099
2024-05-01,109099,109099
2024-05-04,109099,109099
2024-05-05,109099,109099
2024-05-07,109099,109099
2024-05-09,109099,109099
2024-05-11,109099,109099
2024-05-13,109099,109099
2024-05-14,109099,109099
2024-05-16,109099,109099
2024-05-17,109099,109099
2024-05-18,109099,109099
2024-05-29,109099,109099
2024-05-30,109099,109099
2024-05-31,109099,109099
2024-06-01,109099,109099
2024-06-03,109099,109099
2024-06-04,109099,109099
2024-06-15,109099,109099
2024-06-19,109099,109099
