Date,Actual Price,Discount Price
2024-04-29,249000,249000
2024-05-01,249000,249000
2024-05-04,249000,249000
2024-05-05,249000,249000
2024-05-07,249000,249000
2024-05-09,249000,249000
2024-05-11,249000,249000
2024-05-13,249000,249000
2024-05-14,249000,249000
2024-05-14,249000,249000
2024-05-16,249000,249000
2024-05-16,249000,249000
2024-05-17,249000,249000
2024-05-17,249000,249000
2024-05-18,249000,249000
2024-05-18,249000,249000
2024-05-29,249000,249000
2024-05-30,249000,249000
2024-05-31,249000,249000
2024-06-01,249000,249000
2024-06-03,249000,249000
2024-06-04,249000,249000
