Date,Actual Price,Discount Price
2024-04-29,210000,210000
2024-05-01,210000,210000
2024-05-04,210000,210000
2024-05-05,210000,210000
2024-05-07,210000,210000
2024-05-09,210000,210000
2024-05-11,210000,210000
2024-05-13,210000,210000
2024-05-14,210000,210000
2024-05-16,210000,210000
2024-05-17,210000,210000
2024-05-18,210000,210000
2024-05-29,210000,210000
2024-05-30,210000,210000
2024-05-31,210000,210000
2024-06-01,210000,210000
2024-06-03,210000,210000
2024-06-04,210000,210000
2024-06-15,210000,210000
