Date,Actual Price,Discount Price
2024-04-29,132999,132999
2024-05-01,132999,132999
2024-05-04,132999,132999
2024-05-05,132999,132999
2024-05-07,132999,132999
2024-05-09,132999,132999
2024-05-11,132999,132999
2024-05-13,132999,132999
2024-05-14,132999,132999
2024-05-16,132999,132999
2024-05-17,132999,132999
2024-05-18,132999,132999
2024-05-29,132999,132999
2024-05-30,132999,132999
2024-05-31,132999,132999
2024-06-01,132999,132999
2024-06-03,132999,132999
2024-06-04,132999,132999
2024-06-15,132999,132999
2024-06-19,132999,132999
