Date,Actual Price,Discount Price
2024-04-29,231111,231111
2024-05-01,231111,231111
2024-05-04,231111,231111
2024-05-05,231111,231111
2024-05-07,231111,231111
2024-05-09,231111,231111
2024-05-11,231111,231111
2024-05-13,231111,231111
2024-05-14,231111,231111
2024-05-16,231111,231111
2024-05-17,231111,231111
2024-05-18,231111,231111
2024-05-29,231111,231111
2024-05-30,231111,231111
2024-05-31,231111,231111
2024-06-01,231111,231111
2024-06-03,231111,231111
2024-06-04,231111,231111
2024-06-15,231111,231111
