Date,Actual Price,Discount Price
2024-04-29,135990,109990
2024-05-01,135990,109990
2024-05-04,135990,109990
2024-05-05,135990,108890
2024-05-07,135990,108890
2024-05-09,135990,108890
2024-05-11,135990,108890
2024-05-13,135990,109990
2024-05-14,135990,109990
2024-05-16,135990,109990
2024-05-17,135990,109990
2024-05-18,135990,109990
2024-05-29,135990,109990
2024-05-30,135990,109990
2024-05-31,135990,109990
2024-06-01,135990,109990
2024-06-03,135990,109990
2024-06-04,135990,109990
2024-06-15,135990,109990
2024-06-19,135990,111990
