Date,Actual Price,Discount Price
2024-04-29,125000,101999
2024-04-30,125000,101999
2024-05-01,125000,101999
2024-05-04,125000,101999
2024-05-05,125000,101999
2024-05-07,125000,101999
2024-05-09,125000,101999
2024-05-11,125000,101999
2024-05-13,125000,101999
2024-05-14,125000,101999
2024-05-14,125000,101999
2024-05-16,125000,101999
2024-05-16,125000,101999
2024-05-17,125000,101999
2024-05-17,125000,101999
2024-05-18,125000,101999
2024-05-18,125000,101999
2024-05-20,125000,101999
2024-05-20,79000,59999
2024-05-21,125000,101999
2024-05-21,69300,47400
2024-05-27,125000,101999
2024-05-27,136999,136999
2024-05-27,125000,101999
2024-05-27,136999,136999
