Date,Actual Price,Discount Price
2024-04-29,135000,109999
2024-05-01,135000,109999
2024-05-04,135000,109999
2024-05-05,135000,104999
2024-05-07,135000,104999
2024-05-09,135000,104999
2024-05-11,135000,104999
2024-05-13,135000,109999
2024-05-14,135000,109999
2024-05-14,135000,109999
2024-05-16,135000,109999
2024-05-16,135000,109999
2024-05-17,135000,109999
2024-05-17,135000,109999
2024-05-18,135000,109999
2024-05-18,135000,109999
2024-05-20,135000,109999
2024-05-20,100000,89999
2024-05-21,135000,109999
2024-05-21,205000,137490
2024-05-27,135000,109999
2024-05-27,60000,51999
2024-05-27,135000,109999
2024-05-27,60000,51999
