Date,Actual Price,Discount Price
2024-04-29,395000,395000
2024-05-01,395000,395000
2024-05-04,395000,395000
2024-05-05,395000,395000
2024-05-07,395000,395000
2024-05-09,395000,395000
2024-05-11,395000,395000
2024-05-13,395000,395000
2024-05-14,395000,395000
2024-05-16,395000,395000
2024-05-17,395000,395000
2024-05-18,395000,395000
2024-05-29,395000,395000
2024-05-30,395000,395000
2024-05-31,395000,395000
2024-06-01,395000,395000
2024-06-03,395000,395000
2024-06-04,395000,395000
2024-06-15,395000,395000
