Date,Actual Price,Discount Price
2024-04-29,152000,142500
2024-05-01,152000,142500
2024-05-04,152000,142500
2024-05-05,152000,142500
2024-05-07,152000,142500
2024-05-09,152000,142500
2024-05-11,152000,142500
2024-05-13,152000,142500
2024-05-14,152000,142500
2024-05-16,152000,142500
2024-05-17,152000,142500
2024-05-18,152000,142500
2024-05-29,152000,142500
2024-05-30,152000,142500
2024-05-31,152000,142500
2024-06-01,152000,142500
2024-06-03,152000,142500
2024-06-04,152000,142500
2024-06-15,152000,142500
