Date,Actual Price,Discount Price
2024-04-29,500000,470000
2024-05-01,500000,470000
2024-05-04,500000,470000
2024-05-05,500000,470000
2024-05-07,500000,470000
2024-05-09,500000,470000
2024-05-11,500000,470000
2024-05-13,500000,470000
2024-05-14,500000,470000
2024-05-16,500000,470000
2024-05-17,500000,470000
2024-05-18,500000,470000
2024-05-29,500000,470000
2024-05-30,500000,470000
2024-05-31,500000,470000
2024-06-01,500000,470000
2024-06-03,500000,470000
2024-06-04,500000,470000
2024-06-15,500000,470000
2024-06-19,500000,470000
