Date,Actual Price,Discount Price
2024-04-29,345000,335000
2024-05-01,345000,335000
2024-05-04,345000,335000
2024-05-05,345000,335000
2024-05-07,345000,335000
2024-05-09,345000,335000
2024-05-11,345000,335000
2024-05-13,345000,335000
2024-05-14,345000,335000
2024-05-16,345000,335000
2024-05-17,345000,335000
2024-05-18,345000,335000
2024-05-29,345000,335000
2024-05-30,345000,335000
2024-05-31,345000,335000
2024-06-01,345000,335000
2024-06-03,345000,335000
2024-06-04,345000,335000
2024-06-15,345000,335000
