Date,Actual Price,Discount Price
2024-04-29,168000,168000
2024-05-01,168000,168000
2024-05-04,168000,168000
2024-05-05,168000,168000
2024-05-07,168000,168000
2024-05-09,168000,168000
2024-05-11,168000,168000
2024-05-13,168000,168000
2024-05-14,168000,168000
2024-05-16,168000,168000
2024-05-17,168000,168000
2024-05-18,168000,168000
2024-05-29,168000,168000
2024-05-30,168000,168000
2024-05-31,168000,168000
2024-06-01,168000,168000
2024-06-03,168000,168000
2024-06-04,168000,168000
2024-06-15,168000,168000
2024-06-19,168000,168000
