Date,Actual Price,Discount Price
2024-04-29,89999,89999
2024-04-30,89999,89999
2024-05-01,89999,89999
2024-05-04,89999,89999
2024-05-05,89999,89999
2024-05-07,89999,89999
2024-05-09,89999,89999
2024-05-11,89999,89999
2024-05-13,89999,89999
2024-05-14,89999,89999
2024-05-14,89999,89999
2024-05-16,89999,89999
2024-05-16,89999,89999
2024-05-17,89999,89999
2024-05-17,89999,89999
2024-05-18,89999,89999
2024-05-18,89999,89999
2024-05-20,89999,89999
2024-05-20,69444,69444
2024-05-21,89999,89999
2024-05-21,136999,136999
