Date,Actual Price,Discount Price
2024-04-29,273172,273172
2024-05-01,273172,273172
2024-05-04,273172,273172
2024-05-05,273172,273172
2024-05-07,273172,273172
2024-05-09,273172,273172
2024-05-11,273172,273172
2024-05-13,273172,273172
2024-05-14,273172,273172
2024-05-16,273172,273172
2024-05-17,273172,273172
2024-05-18,273172,273172
2024-05-29,273172,273172
2024-05-30,273172,273172
2024-05-31,273172,273172
2024-06-01,273172,273172
2024-06-03,273172,273172
2024-06-04,273172,273172
2024-06-15,273172,273172
2024-06-19,273172,273172
