Date,Actual Price,Discount Price
2024-04-29,194999,194999
2024-05-01,194999,194999
2024-05-04,194999,194999
2024-05-05,194999,194999
2024-05-07,194999,194999
2024-05-09,194999,194999
2024-05-11,194999,194999
2024-05-13,194999,194999
2024-05-14,194999,194999
2024-05-16,194999,194999
2024-05-17,194999,194999
2024-05-18,194999,194999
2024-05-29,194999,194999
2024-05-30,194999,194999
2024-05-31,194999,194999
2024-06-01,194999,194999
2024-06-03,194999,194999
2024-06-04,194999,194999
2024-06-15,194999,194999
