Date,Actual Price,Discount Price
2024-04-29,251000,251000
2024-05-01,251000,251000
2024-05-04,251000,251000
2024-05-05,251000,251000
2024-05-07,251000,251000
2024-05-09,251000,251000
2024-05-11,251000,251000
2024-05-13,251000,251000
2024-05-14,251000,251000
2024-05-16,251000,251000
2024-05-17,251000,251000
2024-05-18,251000,251000
2024-05-29,251000,251000
2024-05-30,251000,251000
2024-05-31,251000,251000
2024-06-01,251000,251000
2024-06-03,251000,251000
2024-06-04,251000,251000
2024-06-15,251000,251000
2024-06-19,251000,251000
