Date,Actual Price,Discount Price
2024-04-29,272222,272222
2024-05-01,272222,272222
2024-05-04,272222,272222
2024-05-05,272222,272222
2024-05-07,272222,272222
2024-05-09,272222,272222
2024-05-11,272222,272222
2024-05-13,272222,272222
2024-05-14,272222,272222
2024-05-16,272222,272222
2024-05-17,272222,272222
2024-05-18,272222,272222
2024-05-29,272222,272222
2024-05-30,272222,272222
2024-05-31,272222,272222
2024-06-01,272222,272222
2024-06-03,272222,272222
2024-06-04,272222,272222
2024-06-15,272222,272222
2024-06-19,272222,272222
