Date,Actual Price,Discount Price
2024-04-29,555000,555000
2024-05-01,555000,555000
2024-05-04,555000,555000
2024-05-05,555000,555000
2024-05-07,555000,555000
2024-05-09,555000,555000
2024-05-11,555000,555000
2024-05-13,555000,555000
2024-05-14,555000,555000
2024-05-16,555000,555000
2024-05-17,555000,555000
2024-05-18,555000,555000
2024-05-29,555000,555000
2024-05-30,555000,555000
2024-05-31,555000,555000
2024-06-01,555000,555000
2024-06-03,555000,555000
2024-06-04,555000,555000
2024-06-15,555000,555000
