Date,Actual Price,Discount Price
2024-04-29,237440,212000
2024-05-01,237440,212000
2024-05-04,237440,212000
2024-05-05,237440,212000
2024-05-07,237440,212000
2024-05-09,237440,212000
2024-05-11,237440,212000
2024-05-13,237440,212000
2024-05-14,237440,212000
2024-05-16,237440,212000
2024-05-17,237440,212000
2024-05-18,237440,212000
2024-05-29,237440,212000
2024-05-30,237440,212000
2024-05-31,237440,212000
2024-06-01,237440,212000
2024-06-03,237440,212000
2024-06-04,237440,212000
2024-06-15,237440,212000
