Date,Actual Price,Discount Price
2024-04-29,194000,194000
2024-05-01,194000,194000
2024-05-04,194000,194000
2024-05-05,194000,194000
2024-05-07,194000,194000
2024-05-09,194000,194000
2024-05-11,194000,194000
2024-05-13,194000,194000
2024-05-14,194000,194000
2024-05-16,194000,194000
2024-05-17,194000,194000
2024-05-18,194000,194000
2024-05-29,194000,194000
2024-05-30,194000,194000
2024-05-31,194000,194000
2024-06-01,194000,194000
2024-06-03,194000,194000
2024-06-04,194000,194000
2024-06-15,194000,194000
2024-06-19,194000,194000
