Date,Actual Price,Discount Price
2024-04-29,290163,290163
2024-05-01,290163,290163
2024-05-04,290163,290163
2024-05-05,290163,290163
2024-05-07,290163,290163
2024-05-09,290163,290163
2024-05-11,290163,290163
2024-05-13,290163,290163
2024-05-14,290163,290163
2024-05-16,290163,290163
2024-05-17,290163,290163
2024-05-18,290163,290163
2024-05-29,290163,290163
2024-05-30,290163,290163
2024-05-31,290163,290163
2024-06-01,290163,290163
2024-06-03,290163,290163
2024-06-04,290163,290163
2024-06-15,290163,290163
2024-06-19,290163,290163
