Date,Actual Price,Discount Price
2024-04-29,235500,235500
2024-05-01,235500,235500
2024-05-04,235500,235500
2024-05-05,235500,235500
2024-05-07,235500,235500
2024-05-09,235500,235500
2024-05-11,235500,235500
2024-05-13,235500,235500
2024-05-14,235500,235500
2024-05-16,235500,235500
2024-05-17,235500,235500
2024-05-18,235500,235500
2024-05-29,235500,235500
2024-05-30,235500,235500
2024-05-31,235500,235500
2024-06-01,235500,235500
2024-06-03,235500,235500
2024-06-04,235500,235500
2024-06-15,235500,235500
