Date,Actual Price,Discount Price
2024-04-29,104500,104500
2024-05-01,104500,104500
2024-05-04,104500,104500
2024-05-05,104500,104500
2024-05-07,104500,104500
2024-05-09,104500,104500
2024-05-11,104500,104500
2024-05-13,104500,104500
2024-05-14,104500,104500
2024-05-16,104500,104500
2024-05-17,104500,104500
2024-05-18,104500,104500
2024-05-29,104500,104500
2024-05-30,104500,104500
2024-05-31,104500,104500
2024-06-01,104500,104500
2024-06-03,104500,104500
2024-06-04,104500,104500
2024-06-15,104500,104500
