Date,Actual Price,Discount Price
2024-04-29,255000,255000
2024-05-01,255000,255000
2024-05-04,255000,255000
2024-05-05,255000,255000
2024-05-07,255000,255000
2024-05-09,255000,255000
2024-05-11,255000,255000
2024-05-13,255000,255000
2024-05-14,255000,255000
2024-05-16,255000,255000
2024-05-17,255000,255000
2024-05-18,255000,255000
2024-05-29,255000,255000
2024-05-30,255000,255000
2024-05-31,255000,255000
2024-06-01,255000,255000
2024-06-03,255000,255000
2024-06-04,255000,255000
2024-06-15,255000,255000
