Date,Actual Price,Discount Price
2024-04-29,107999,81990
2024-05-01,107999,81990
2024-05-04,107999,81990
2024-05-05,107999,81990
2024-05-07,107999,81990
2024-05-09,107999,81990
2024-05-11,107999,81990
2024-05-13,107999,81990
2024-05-14,107999,81990
2024-05-16,107999,81990
2024-05-17,107999,81990
2024-05-18,107999,81990
2024-05-29,107999,81990
2024-05-30,107999,81990
2024-05-31,107999,81990
2024-06-01,107999,81990
2024-06-03,107999,81990
2024-06-04,107999,81990
2024-06-15,107999,81990
2024-06-19,107999,81990
