Date,Actual Price,Discount Price
2024-04-29,343000,319200
2024-05-01,343000,319200
2024-05-04,343000,319200
2024-05-05,343000,319200
2024-05-07,343000,319200
2024-05-09,343000,319200
2024-05-11,343000,319200
2024-05-13,343000,319200
2024-05-14,343000,319200
2024-05-16,343000,319200
2024-05-17,343000,319200
2024-05-18,343000,319200
2024-05-29,343000,319200
2024-05-30,343000,319200
2024-05-31,343000,319200
2024-06-01,343000,319200
2024-06-03,343000,319200
2024-06-04,343000,319200
2024-06-15,343000,319200
