Date,Actual Price,Discount Price
2024-04-29,139900,129900
2024-04-30,139900,129900
2024-05-01,139900,129900
2024-05-04,139900,129900
2024-05-05,139900,129900
2024-05-07,139900,129900
2024-05-09,139900,129900
2024-05-11,139900,129900
2024-05-13,139900,129900
2024-05-14,139900,129900
2024-05-14,139900,129900
2024-05-16,139900,129900
2024-05-16,139900,129900
2024-05-17,139900,129900
2024-05-17,139900,129900
2024-05-18,139900,129900
2024-05-18,139900,129900
2024-05-29,139900,129900
2024-05-30,139900,129900
2024-05-31,139900,129900
2024-06-01,139900,129900
2024-06-03,139900,129900
2024-06-04,139900,129900
