Date,Actual Price,Discount Price
2024-04-29,110250,110250
2024-05-01,110250,110250
2024-05-04,110250,110250
2024-05-05,110250,110250
2024-05-07,110250,110250
2024-05-09,110250,110250
2024-05-11,110250,110250
2024-05-13,110250,110250
2024-05-14,110250,110250
2024-05-16,110250,110250
2024-05-17,110250,110250
2024-05-18,110250,110250
2024-05-29,110250,110250
2024-05-30,110250,110250
2024-05-31,110250,110250
2024-06-01,110250,110250
2024-06-03,110250,110250
2024-06-04,110250,110250
2024-06-15,110250,110250
