Date,Actual Price,Discount Price
2024-04-29,200000,200000
2024-05-01,200000,200000
2024-05-04,200000,200000
2024-05-05,200000,200000
2024-05-07,200000,200000
2024-05-09,213000,213000
2024-05-11,213000,213000
2024-05-13,213000,213000
2024-05-14,213000,213000
2024-05-16,213000,213000
2024-05-17,213000,213000
2024-05-18,213000,213000
2024-05-29,213000,213000
2024-05-30,213000,213000
2024-05-31,213000,213000
2024-06-01,213000,213000
2024-06-03,213000,213000
2024-06-04,213000,213000
2024-06-15,213000,213000
