Date,Actual Price,Discount Price
2024-04-29,154500,114000
2024-05-01,154500,114000
2024-05-04,154500,114000
2024-05-05,154500,114000
2024-05-07,154500,114000
2024-05-09,154500,114000
2024-05-11,154500,114000
2024-05-13,154500,114000
2024-05-14,154500,114000
2024-05-16,154500,114000
2024-05-17,154500,114000
2024-05-18,154500,114000
2024-05-29,154500,114000
2024-05-30,154500,114000
2024-05-31,154500,114000
2024-06-01,154500,114000
2024-06-03,154500,114000
2024-06-04,154500,114000
2024-06-15,154500,114000
2024-06-19,154500,114000
