Date,Actual Price,Discount Price
2024-04-29,223000,223000
2024-05-01,223000,223000
2024-05-04,223000,223000
2024-05-05,223000,223000
2024-05-07,223000,223000
2024-05-09,223000,223000
2024-05-11,223000,223000
2024-05-13,223000,223000
2024-05-14,223000,223000
2024-05-16,223000,223000
2024-05-17,223000,223000
2024-05-18,223000,223000
2024-05-29,223000,223000
2024-05-30,223000,223000
2024-05-31,223000,223000
2024-06-01,223000,223000
2024-06-03,223000,223000
2024-06-04,223000,223000
2024-06-15,223000,223000
2024-06-19,223000,223000
