Date,Actual Price,Discount Price
2024-04-29,299999,299999
2024-05-01,299999,299999
2024-05-04,299999,299999
2024-05-05,299999,299999
2024-05-07,299999,299999
2024-05-09,299999,299999
2024-05-11,299999,299999
2024-05-13,299999,299999
2024-05-14,299999,299999
2024-05-16,299999,299999
2024-05-17,299999,299999
2024-05-18,299999,299999
2024-05-29,299999,299999
2024-05-30,299999,299999
2024-05-31,299999,299999
2024-06-01,299999,299999
2024-06-03,299999,299999
2024-06-04,299999,299999
2024-06-15,299999,299999
2024-06-19,299999,299999
