Date,Actual Price,Discount Price
2024-04-29,230000,230000
2024-05-01,230000,230000
2024-05-04,230000,230000
2024-05-05,230000,230000
2024-05-07,230000,230000
2024-05-09,230000,230000
2024-05-11,230000,230000
2024-05-13,230000,230000
2024-05-14,230000,230000
2024-05-16,230000,230000
2024-05-17,230000,230000
2024-05-18,230000,230000
2024-05-29,230000,230000
2024-05-30,230000,230000
2024-05-31,230000,230000
2024-06-01,230000,230000
2024-06-03,230000,230000
2024-06-04,230000,230000
2024-06-15,230000,230000
2024-06-19,230000,230000
