Date,Actual Price,Discount Price
2024-04-29,350000,319990
2024-05-01,350000,319990
2024-05-04,350000,319990
2024-05-05,350000,319990
2024-05-07,350000,319990
2024-05-09,350000,319990
2024-05-11,350000,319990
2024-05-13,350000,319990
2024-05-14,350000,319990
2024-05-16,350000,319990
2024-05-17,350000,319990
2024-05-18,350000,319990
2024-05-29,350000,350000
2024-05-30,350000,350000
2024-05-31,350000,350000
2024-06-01,350000,350000
2024-06-03,350000,350000
2024-06-04,350000,350000
2024-06-15,350000,350000
2024-06-19,350000,350000
