Date,Actual Price,Discount Price
2024-04-29,279000,279000
2024-05-01,279000,279000
2024-05-04,279000,279000
2024-05-05,279000,279000
2024-05-07,279000,279000
2024-05-09,279000,279000
2024-05-11,279000,279000
2024-05-13,279000,279000
2024-05-14,279000,279000
2024-05-16,279000,279000
2024-05-17,279000,279000
2024-05-18,279000,279000
2024-05-29,279000,279000
2024-05-30,279000,279000
2024-05-31,279000,279000
2024-06-01,279000,279000
2024-06-03,279000,279000
2024-06-04,279000,279000
2024-06-15,279000,279000
2024-06-19,279000,279000
