Date,Actual Price,Discount Price
2024-04-29,139000,134000
2024-05-01,139000,134000
2024-05-04,139000,134000
2024-05-05,139000,134000
2024-05-07,139000,134000
2024-05-09,139000,134000
2024-05-11,139000,134000
2024-05-13,139000,134000
2024-05-14,139000,134000
2024-05-16,139000,134000
2024-05-17,139000,134000
2024-05-18,139000,134000
2024-05-29,139000,134000
2024-05-30,139000,134000
2024-05-31,139000,134000
2024-06-01,139000,134000
2024-06-03,139000,134000
2024-06-04,139000,134000
2024-06-15,139000,134000
2024-06-19,139000,134000
