Date,Actual Price,Discount Price
2024-04-29,292800,292800
2024-05-01,292800,292800
2024-05-04,292800,292800
2024-05-05,292800,292800
2024-05-07,292800,292800
2024-05-09,292800,292800
2024-05-11,292800,292800
2024-05-13,292800,292800
2024-05-14,292800,292800
2024-05-16,292800,292800
2024-05-17,292800,292800
2024-05-18,292800,292800
2024-05-29,292800,292800
2024-05-30,292800,292800
2024-05-31,292800,292800
2024-06-01,292800,292800
2024-06-03,292800,292800
2024-06-04,292800,292800
2024-06-15,292800,292800
2024-06-19,292800,292800
