Date,Actual Price,Discount Price
2024-04-29,139999,139999
2024-05-01,139999,139999
2024-05-04,139999,139999
2024-05-05,139999,139999
2024-05-07,139999,139999
2024-05-09,139999,139999
2024-05-11,139999,139999
2024-05-13,139999,139999
2024-05-14,139999,139999
2024-05-16,139999,139999
2024-05-17,139999,139999
2024-05-18,139999,139999
2024-05-29,139999,139999
2024-05-30,139999,139999
2024-05-31,139999,139999
2024-06-01,139999,139999
2024-06-03,139999,139999
2024-06-04,139999,139999
2024-06-15,139999,139999
2024-06-19,139999,139999
