Date,Actual Price,Discount Price
2024-04-29,126000,118000
2024-05-01,126000,118000
2024-05-04,126000,118000
2024-05-05,126000,118000
2024-05-07,126000,118000
2024-05-09,126000,118000
2024-05-11,126000,118000
2024-05-13,126000,118000
2024-05-14,126000,118000
2024-05-14,126000,118000
2024-05-16,126000,118000
2024-05-16,126000,118000
2024-05-17,126000,118000
2024-05-17,126000,118000
2024-05-18,126000,118000
2024-05-18,126000,118000
2024-05-20,126000,118000
2024-05-20,92990,71990
2024-05-21,126000,118000
2024-05-21,125000,95990
2024-05-27,126000,118000
2024-05-27,90990,65490
2024-05-27,126000,118000
2024-05-27,90990,65490
