Date,Actual Price,Discount Price
2024-04-29,220000,190000
2024-05-01,220000,190000
2024-05-04,220000,190000
2024-05-05,220000,190000
2024-05-07,220000,190000
2024-05-09,220000,190000
2024-05-11,220000,190000
2024-05-13,220000,190000
2024-05-14,220000,190000
2024-05-16,220000,190000
2024-05-17,220000,190000
2024-05-18,220000,190000
2024-05-29,220000,190000
2024-05-30,220000,190000
2024-05-31,220000,190000
2024-06-01,220000,190000
2024-06-03,220000,190000
2024-06-04,220000,190000
2024-06-15,220000,190000
2024-06-19,220000,190000
