Date,Actual Price,Discount Price
2024-04-29,136000,136000
2024-05-01,136000,136000
2024-05-04,136000,136000
2024-05-05,136000,136000
2024-05-07,136000,136000
2024-05-09,136000,136000
2024-05-11,136000,136000
2024-05-13,136000,136000
2024-05-14,136000,136000
2024-05-16,136000,136000
2024-05-17,136000,136000
2024-05-18,136000,136000
2024-05-29,136000,136000
2024-05-30,136000,136000
2024-05-31,136000,136000
2024-06-01,136000,136000
2024-06-03,136000,136000
2024-06-04,136000,136000
2024-06-15,136000,136000
