Date,Actual Price,Discount Price
2024-04-29,306000,306000
2024-05-01,306000,306000
2024-05-04,306000,306000
2024-05-05,306000,306000
2024-05-07,306000,306000
2024-05-09,306000,306000
2024-05-11,306000,306000
2024-05-13,306000,306000
2024-05-14,306000,306000
2024-05-16,306000,306000
2024-05-17,306000,306000
2024-05-18,306000,306000
2024-05-29,306000,306000
2024-05-30,306000,306000
2024-05-31,306000,306000
2024-06-01,306000,306000
2024-06-03,306000,306000
2024-06-04,306000,306000
2024-06-15,306000,306000
