Date,Actual Price,Discount Price
2024-04-29,64999,64999
2024-04-30,64999,64999
2024-05-01,64999,64999
2024-05-04,64999,64999
2024-05-05,64999,63999
2024-05-07,64999,63999
2024-05-09,64999,63999
2024-05-11,64999,63999
2024-05-13,64999,64999
2024-05-14,64999,64999
2024-05-14,64999,64999
2024-05-16,64999,64999
2024-05-16,64999,64999
2024-05-17,64999,64999
2024-05-17,64999,64999
2024-05-18,64999,64999
2024-05-18,64999,64999
2024-05-20,64999,63999
2024-05-20,40000,40000
2024-05-21,64999,63999
2024-05-21,47999,46990
2024-05-27,64999,64999
2024-05-27,69300,47400
2024-05-27,64999,64999
2024-05-27,69300,47400
