Date,Actual Price,Discount Price
2024-04-29,213670,213670
2024-05-01,213670,213670
2024-05-04,213670,213670
2024-05-05,213670,213670
2024-05-07,213670,213670
2024-05-09,213670,213670
2024-05-11,213670,213670
2024-05-13,213670,213670
2024-05-14,213670,213670
2024-05-16,213670,213670
2024-05-17,213670,213670
2024-05-18,213670,213670
2024-05-29,213670,213670
2024-05-30,213670,213670
2024-05-31,213670,213670
2024-06-01,213670,213670
2024-06-03,213670,213670
2024-06-04,213670,213670
2024-06-15,213670,213670
2024-06-19,213670,213670
