Date,Actual Price,Discount Price
2024-04-29,141000,141000
2024-05-01,141000,141000
2024-05-04,141000,141000
2024-05-05,141000,141000
2024-05-07,141000,141000
2024-05-09,141000,141000
2024-05-11,141000,141000
2024-05-13,141000,141000
2024-05-14,141000,141000
2024-05-16,141000,141000
2024-05-17,141000,141000
2024-05-18,141000,141000
2024-05-29,141000,141000
2024-05-30,141000,141000
2024-05-31,141000,141000
2024-06-01,141000,141000
2024-06-03,141000,141000
2024-06-04,141000,141000
2024-06-15,141000,141000
2024-06-19,141000,141000
