Date,Actual Price,Discount Price
2024-04-29,170640,170640
2024-05-01,170640,170640
2024-05-04,170640,170640
2024-05-05,170640,170640
2024-05-07,170640,170640
2024-05-09,170640,170640
2024-05-11,170640,170640
2024-05-13,170640,170640
2024-05-14,170640,170640
2024-05-16,170640,170640
2024-05-17,170640,170640
2024-05-18,170640,170640
2024-05-29,170640,170640
2024-05-30,170640,170640
2024-05-31,170640,170640
2024-06-01,170640,170640
2024-06-03,170640,170640
2024-06-04,170640,170640
2024-06-15,170640,170640
2024-06-19,170640,170640
