Date,Actual Price,Discount Price
2024-04-29,101500,101500
2024-05-01,101500,101500
2024-05-04,101500,101500
2024-05-05,101500,101500
2024-05-07,101500,101500
2024-05-09,101500,101500
2024-05-11,101500,101500
2024-05-13,101500,101500
2024-05-14,101500,101500
2024-05-16,101500,101500
2024-05-17,101500,101500
2024-05-18,101500,101500
2024-05-29,101500,101500
2024-05-30,101500,101500
2024-05-31,101500,101500
2024-06-01,101500,101500
2024-06-03,101500,101500
2024-06-04,101500,101500
2024-06-15,101500,101500
2024-06-19,101500,101500
