Date,Actual Price,Discount Price
2024-04-29,172990,172990
2024-05-01,172990,172990
2024-05-04,172990,172990
2024-05-05,172990,172990
2024-05-07,172990,172990
2024-05-09,172990,172990
2024-05-11,172990,172990
2024-05-13,172990,172990
2024-05-14,172990,172990
2024-05-16,172990,172990
2024-05-17,172990,172990
2024-05-18,172990,172990
2024-05-29,172990,172990
2024-05-30,172990,172990
2024-05-31,172990,172990
2024-06-01,172990,172990
2024-06-03,172990,172990
2024-06-04,172990,172990
2024-06-15,172990,172990
