Date,Actual Price,Discount Price
2024-04-29,259900,259900
2024-05-01,259900,259900
2024-05-04,259900,259900
2024-05-05,259900,259900
2024-05-07,259900,259900
2024-05-09,259900,259900
2024-05-11,259900,259900
2024-05-13,259900,259900
2024-05-14,259900,259900
2024-05-16,259900,259900
2024-05-17,259900,259900
2024-05-18,259900,259900
2024-05-29,259900,259900
2024-05-30,259900,259900
2024-05-31,259900,259900
2024-06-01,259900,259900
2024-06-03,259900,259900
2024-06-04,259900,259900
2024-06-15,259900,259900
