Date,Actual Price,Discount Price
2024-04-29,302400,302400
2024-05-01,302400,302400
2024-05-04,302400,302400
2024-05-05,302400,302400
2024-05-07,302400,302400
2024-05-09,302400,302400
2024-05-11,302400,302400
2024-05-13,302400,302400
2024-05-14,302400,302400
2024-05-16,302400,302400
2024-05-17,302400,302400
2024-05-18,302400,302400
2024-05-29,302400,302400
2024-05-30,302400,302400
2024-05-31,302400,302400
2024-06-01,302400,302400
2024-06-03,302400,302400
2024-06-04,302400,302400
2024-06-15,302400,302400
