Date,Actual Price,Discount Price
2024-04-29,113990,93990
2024-05-01,113990,93990
2024-05-04,113990,93990
2024-05-05,113990,91990
2024-05-07,113990,91990
2024-05-09,113990,91990
2024-05-11,113990,91990
2024-05-13,113990,93990
2024-05-14,113990,93990
2024-05-14,113990,93990
2024-05-16,113990,93990
2024-05-16,113990,93990
2024-05-17,113990,93990
2024-05-17,113990,93990
2024-05-18,113990,93990
2024-05-18,113990,93990
2024-05-20,113990,93990
2024-05-20,119000,118000
2024-05-21,113990,93990
2024-05-21,66999,66999
2024-05-27,113990,93990
2024-05-27,93500,93500
2024-05-27,113990,93990
2024-05-27,93500,93500
