Date,Actual Price,Discount Price
2024-04-29,238888,238888
2024-05-01,238888,238888
2024-05-04,238888,238888
2024-05-05,238888,238888
2024-05-07,238888,238888
2024-05-09,238888,238888
2024-05-11,238888,238888
2024-05-13,238888,238888
2024-05-14,238888,238888
2024-05-16,238888,238888
2024-05-17,238888,238888
2024-05-18,238888,238888
2024-05-29,238888,238888
2024-05-30,238888,238888
2024-05-31,238888,238888
2024-06-01,238888,238888
2024-06-03,238888,238888
2024-06-04,238888,238888
2024-06-15,238888,238888
2024-06-19,238888,238888
