Date,Actual Price,Discount Price
2024-04-29,141500,105000
2024-05-01,141500,105000
2024-05-04,141500,105000
2024-05-05,141500,105000
2024-05-07,141500,105000
2024-05-09,141500,105000
2024-05-11,141500,105000
2024-05-13,141500,105000
2024-05-14,141500,105000
2024-05-16,141500,105000
2024-05-17,141500,105000
2024-05-18,141500,105000
2024-05-29,141500,105000
2024-05-30,141500,105000
2024-05-31,141500,105000
2024-06-01,141500,105000
2024-06-03,141500,105000
2024-06-04,141500,105000
2024-06-15,141500,105000
2024-06-19,141500,105000
