Date,Actual Price,Discount Price
2024-04-29,368000,368000
2024-05-01,368000,368000
2024-05-04,368000,368000
2024-05-05,368000,368000
2024-05-07,368000,368000
2024-05-09,368000,368000
2024-05-11,368000,368000
2024-05-13,368000,368000
2024-05-14,368000,368000
2024-05-16,368000,368000
2024-05-17,368000,368000
2024-05-18,368000,368000
2024-05-29,368000,368000
2024-05-30,368000,368000
2024-05-31,368000,368000
2024-06-01,368000,368000
2024-06-03,368000,368000
2024-06-04,368000,368000
2024-06-15,368000,368000
