Date,Actual Price,Discount Price
2024-04-29,114999,99999
2024-05-01,114999,99999
2024-05-04,114999,99999
2024-05-05,114999,97999
2024-05-07,114999,97999
2024-05-09,114999,97999
2024-05-11,114999,97999
2024-05-13,114999,99999
2024-05-14,114999,99999
2024-05-14,114999,99999
2024-05-16,114999,99999
2024-05-16,114999,99999
2024-05-17,114999,99999
2024-05-17,114999,99999
2024-05-18,114999,99999
2024-05-18,114999,99999
2024-05-20,114999,99999
2024-05-20,238888,238888
2024-05-21,114999,99999
2024-05-21,148888,148888
2024-05-27,114999,99999
2024-05-27,65120,49999
2024-05-27,114999,99999
2024-05-27,65120,49999
